mayesh_product_id,mayesh_product_name,ibf_product_id,ibf_product_name,similarity_score
490650,Rose Playa Blanca White,3276d79d-695d-4f45-87c4-d53166e34ef3,Roses Playa Blanca White,0.969
491513,Rose Playa Blanca White,3276d79d-695d-4f45-87c4-d53166e34ef3,Roses Playa Blanca White,0.969
487529,Rose Santana Dark Orange,0ea1d377-2e5d-4f75-84dd-127ce5a26891,Roses Santana Dark Orange,0.969
487530,Rose Santana Dark Orange,0ea1d377-2e5d-4f75-84dd-127ce5a26891,Roses Santana Dark Orange,0.969
567669,Rose Shimmer Peach,30f161ca-f066-4432-8b5e-b0f24e4a36e5,Roses Shimmer Peach,0.969
567670,Rose Shimmer Peach,30f161ca-f066-4432-8b5e-b0f24e4a36e5,Roses Shimmer Peach,0.969
567671,Rose Shimmer Peach,30f161ca-f066-4432-8b5e-b0f24e4a36e5,Roses Shimmer Peach,0.969
567672,Rose Shimmer Peach,30f161ca-f066-4432-8b5e-b0f24e4a36e5,Roses Shimmer Peach,0.969
487324,Rose Polar Star White,37de2343-09c4-4489-aabe-7320267e58d6,Roses Polar Star White,0.968
487325,Rose Polar Star White,37de2343-09c4-4489-aabe-7320267e58d6,Roses Polar Star White,0.968
487904,Rose Wild Spirit Orange,1da16dd0-a481-4570-95b5-596a14d97a9c,Roses Wild Spirit Orange,0.968
515964,Kangaroo Paw Orange,74f282cb-ba43-4400-a9b3-cb12868604e2,Kangaroo Paws Orange,0.967
1247222,Rose Moonstone White,5a2208c0-94b1-453b-8c8a-ea07c07f28f0,Roses Moonstone White,0.967
518981,Rose Stardust Yellow,18eb2af1-e3ee-478a-91eb-01923528a330,Roses Stardust Yellow,0.967
508806,Rose Stardust Yellow,18eb2af1-e3ee-478a-91eb-01923528a330,Roses Stardust Yellow,0.967
517956,Sweet Pea Pink,7e8e0aa9-48a7-4942-b829-55c6b0f4853b,Sweet Peas Pink,0.967
509449,Rose Alba White,ec9f8631-2bf7-4f2b-badd-d7a9b35fb6ea,Roses Alba White,0.966
509450,Rose Alba White,ec9f8631-2bf7-4f2b-badd-d7a9b35fb6ea,Roses Alba White,0.966
2340849,Rose Nexus Orange,f632e825-24f7-4c42-a237-e3cd831718d7,Roses Nexus Orange,0.966
487329,Rose Polo White,504073c7-09c9-4b60-99dc-76c4742f690e,Roses Polo White,0.966
487330,Rose Polo White,504073c7-09c9-4b60-99dc-76c4742f690e,Roses Polo White,0.966
486135,Rose Cool Water Lavender,13dc59bb-fe49-454f-bf15-40c0655ef9ce,Roses Cool Water Lavender,0.965
486136,Rose Cool Water Lavender,13dc59bb-fe49-454f-bf15-40c0655ef9ce,Roses Cool Water Lavender,0.965
486137,Rose Cool Water Lavender,13dc59bb-fe49-454f-bf15-40c0655ef9ce,Roses Cool Water Lavender,0.965
8708021,Rose Lumia Orange,b1c918ad-5354-4557-9558-185812d25e12,Roses Lumia Orange,0.965
8708023,Rose Lumia Orange,b1c918ad-5354-4557-9558-185812d25e12,Roses Lumia Orange,0.965
8708024,Rose Lumia Orange,b1c918ad-5354-4557-9558-185812d25e12,Roses Lumia Orange,0.965
515911,Honey Bracelet Green,b5aeabaa-49a1-4281-83f9-0d96083b038e,Myrtle Honey Bracelet Green,0.964
488447,Rose Garden Romantic Antike Pink,4f6c9885-69da-4575-879a-8e9b778b3111,Garden Roses Romantic Antike Pink,0.964
487014,Rose Malibu Pink,b797b6da-5a8d-4bd1-9f41-b10d47c765ab,Roses Malibu Pink,0.964
487015,Rose Malibu Pink,b797b6da-5a8d-4bd1-9f41-b10d47c765ab,Roses Malibu Pink,0.964
517953,Sweet Pea Lavender,3a03e127-d8a4-4302-9254-3036e10a03af,Sweet Peas Lavender,0.964
515961,Kangaroo Paw Burgundy,15234448-eea5-4915-a154-3b7cf733ecaa,Kangaroo Paws Burgundy,0.963
489176,Spray Rose Yellow Babe Yellow,c988654b-7a11-4e10-bdc2-d54ca771c029,Spray Roses Babe Yellow,0.963
485822,Rose Bikini Yellow,8e056093-0612-4aaa-8554-2f2e64e4d42d,Roses Bikini Yellow,0.962
485823,Rose Bikini Yellow,8e056093-0612-4aaa-8554-2f2e64e4d42d,Roses Bikini Yellow,0.962
485824,Rose Bikini Yellow,8e056093-0612-4aaa-8554-2f2e64e4d42d,Roses Bikini Yellow,0.962
485927,Rose Butterscotch Yellow,c7d4819b-158f-4270-8da7-d1fa4b3f0c0f,Roses Butterscotch Yellow,0.962
485928,Rose Butterscotch Yellow,c7d4819b-158f-4270-8da7-d1fa4b3f0c0f,Roses Butterscotch Yellow,0.962
486110,Rose Coffee Break Brown,67b98110-3768-4f58-8afb-dbd315b4e468,Roses Coffee Break Brown Brown,0.962
512978,Rose Novia Light Pink,4b5c6979-e7a7-42b7-860b-c5b49e5314de,Roses Novia Light Pink,0.962
512979,Rose Novia Light Pink,4b5c6979-e7a7-42b7-860b-c5b49e5314de,Roses Novia Light Pink,0.962
487589,Rose Snowy Jewel White,0734dc22-beea-4a0a-8cc1-3ad4b4612432,Roses Snowy Jewel White,0.962
487590,Rose Snowy Jewel White,0734dc22-beea-4a0a-8cc1-3ad4b4612432,Roses Snowy Jewel White,0.962
487743,Rose Tibet White,b1b6b639-31e1-46fa-bd71-be74b64a9471,Roses Tibet White,0.962
487744,Rose Tibet White,b1b6b639-31e1-46fa-bd71-be74b64a9471,Roses Tibet White,0.962
487745,Rose Tibet White,b1b6b639-31e1-46fa-bd71-be74b64a9471,Roses Tibet White,0.962
487148,Rose Nena Light Pink,99b66806-4e0f-4655-a78f-ecf47b8c8ea9,Roses Nena Light Pink,0.961
487149,Rose Nena Light Pink,99b66806-4e0f-4655-a78f-ecf47b8c8ea9,Roses Nena Light Pink,0.961
487150,Rose Nena Light Pink,99b66806-4e0f-4655-a78f-ecf47b8c8ea9,Roses Nena Light Pink,0.961
1313593,Rose Silvery Light Lavender,cc8e46fa-2e67-47cb-8878-b26a1c44f15d,Roses Silvery Light Lavender,0.961
1313594,Rose Silvery Light Lavender,cc8e46fa-2e67-47cb-8878-b26a1c44f15d,Roses Silvery Light Lavender,0.961
1055033,Sweet Pea Cream,0ba5f26f-22c2-4c0b-a30a-499173629ad5,Sweet Peas Cream,0.961
514836,Cocculus Green,38e27336-fc0a-4a08-b78f-bf8f7533511d,Cocculus Cocculus Green,0.96
487688,Rose Sweet Unique Pink,0d0b2974-88cc-44f4-b26d-420e6188251a,Roses Sweet Unique Pink,0.96
487689,Rose Sweet Unique Pink,0d0b2974-88cc-44f4-b26d-420e6188251a,Roses Sweet Unique Pink,0.96
487690,Rose Sweet Unique Pink,0d0b2974-88cc-44f4-b26d-420e6188251a,Roses Sweet Unique Pink,0.96
