ibf_product_name,variety_key,name,color_name_cleaned,variety_cleaned
Roses Mixed,d249ac48-0eb3-4c75-91aa-9868ce34760a,Roses Assorted mixed,Mixed,Roses
Ranunculus Pon White,84c0e844-df8c-4f17-9fec-9e9e53c6425d,Ranunculus Pon-Pon Igloo white - multiple,White,Ranunculus Pon
Lilies Oriental Tarrango Dark Pink,d69201d2-edc0-402c-b510-aa7b9757e85f,Lilies Oriental Tarrango 3/5 Bl pink - dark,Dark Pink,Lilies Oriental Tarrango
Roses Escimo White,d4cd1ac1-b7df-446f-8fbb-3b2a88283ee9,Roses Escimo white,White,Roses Escimo
Asparagus Sprengerii Green,673f1405-4828-4926-861f-c80dde619de2,Asparagus Sprengerii green,Green,Asparagus Sprengerii
Mini Calla Vermeer White,65772193-3703-419e-a2d3-b3d8ff10142a,Mini Calla Vermeer white - multiple,White,Mini Calla Vermeer
Roses Polar Star White,37de2343-09c4-4489-aabe-7320267e58d6,Roses Polar Star white,White,Roses Polar Star
Roses Strike Yellow,d8d069cc-958b-4f1c-ac8d-fb5f9207f26b,Roses Gold Strike yellow,Yellow,Roses Strike
Mini Carnation White,b9a8b807-6771-4f5d-bd00-e4984e08cf3b,Mini Carnation (Spray) White white,White,Mini Carnation
Garden Roses Free Spirit Orange,d24a19f4-a094-4319-8be4-e711959f72db,Garden Roses Free Spirit orange - multiple,Orange,Garden Roses Free Spirit
Leucadendron Safari Sunset Brown Brown,07cb304d-b1f1-4ee0-a7ba-c56300339054,Leucadendron Safari Sunset brown,Brown,Leucadendron Safari Sunset Brown
Leucadendron Cone Gray,89693e94-0506-4cd5-9505-f48c942a1c60,Leucadendron Silver Cone - Galpini gray,Gray,Leucadendron Cone
Roses Inocencia White,f6698142-47a7-49e8-9f3c-7166904e4f3d,Roses Inocencia white,White,Roses Inocencia
Dianthus Sweet William Pink,84da8eb3-1f14-4a1c-9bd0-d91290318d29,Dianthus Sweet William Pink pink,Pink,Dianthus Sweet William
Chrysanthemum Disbuds Green,1aa792a3-9ad5-4cbe-8a68-69ef631704fa,Chrysanthemum Disbuds/ Mums Spider Dark Green green,Green,Chrysanthemum Disbuds
Pittosporum Variegated Variegated Variegated,75dfb4c5-4b91-4db6-9c66-e962377969f3,Pittosporum Variegated variegated,Variegated,Pittosporum Variegated Variegated
Stars Of Beth Star White,2a0a9e71-5385-45b0-9039-f8a085d36d6c,Stars of Beth White Star white,White,Stars Of Beth Star
Roses Hot Explorer Dark Pink,413482fe-8346-4bb3-96fe-3c039d24e137,Roses Hot Explorer pink - dark,Dark Pink,Roses Hot Explorer
Veronica Skyler Blue,a9f36181-093c-47b7-987c-372f71ce25b4,Veronica Skyler Blue blue,Blue,Veronica Skyler
Protea Ice Pink,b908fa53-9cc1-4384-a0c5-71f5e8fc62d8,Protea Pink Ice pink,Pink,Protea Ice
Roses Pompeii Cream,17d1b346-a167-4252-b937-fbb16b9d0ddd,Roses Pompeii cream,Cream,Roses Pompeii
Aspidistra Variegated Variegated Variegated,36b75d67-defd-4b5e-a3df-218a67d52d21,Aspidistra Variegated variegated,Variegated,Aspidistra Variegated Variegated
Aster Solidago Golden Glory Yellow,3222f59a-466c-47b4-a143-cc904fdd5861,Aster Solidago Golden Glory yellow,Yellow,Aster Solidago Golden Glory
Carnation Ocre Dark Yellow,f0b99943-784a-4a34-964e-f170476b7644,Carnation Ocre yellow - dark,Dark Yellow,Carnation Ocre
Roses Deja Vu Yellow,ba973585-2052-4ed5-b730-ee0971031e34,Roses Deja Vu yellow,Yellow,Roses Deja Vu
Roses Brighton Yellow,6cf94d7e-0d53-4cf4-b734-d3909bda388d,Roses Brighton yellow,Yellow,Roses Brighton
Spray Roses Mikado Lavender,3d2ac2c5-aa16-4cd3-ad4e-f2afc3576c12,Spray Roses Silver Mikado lavender,Lavender,Spray Roses Mikado
Roses Amnesia Lavender,c7aedaca-dac0-48fc-ad08-9945e33cbb7b,Roses Amnesia lavender,Lavender,Roses Amnesia
Star Thistle Bell Blue,39e46987-8bd0-49b0-8d20-648df4c6af97,Star Thistle Blue Bell blue,Blue,Star Thistle Bell
Garden Roses Garden Spirit Blush,ff23babb-67ec-438c-a48e-480d8fd4f44b,Garden Roses Garden Spirit blush,Blush,Garden Roses Garden Spirit
Roses Mixed,cb3f56d1-b470-485b-9bc6-cd10fe3d32af,"Roses Assorted (25 White, Purple, Yellow, Pink) mixed",Mixed,Roses
Asparagus Plumosus Green,acc8404b-eb2d-4b47-bf58-2e06e6c941d0,Asparagus Plumosus green,Green,Asparagus Plumosus
Ranunculus Elegance Red,c9f789aa-70d3-4166-bbf5-04b16a0562dc,Ranunculus Elegance Red red,Red,Ranunculus Elegance
Mini Calla Captain Trinity Orange,728758f4-637b-49ac-82c2-5f88e4f4530b,Mini Calla Captain Trinity orange - multiple,Orange,Mini Calla Captain Trinity
Garlands Dollar Seeded Willow Eucalyptus Green,291bc2cf-2fa6-4b3a-9c34-a8ba622941bc,"Garlands Silver Dollar, Seeded & Willow Eucalyptus 10ft/ Box green",Green,Garlands Dollar Seeded Willow Eucalyptus
