mayesh_product_name,competitor_product_id,stem_length
Delphinium Sky Waltz Light Blue,643959,80.0
Delphinium Sky Waltz Light Blue,643959,80.0
Delphinium Volkerfrieden Dark Blue,490521,60.0
Delphinium Volkerfrieden Dark Blue,636942,70.0
Dianthus Calmfly White,6697869,
Dianthus Green Ball Green Fancy,850182,
Dianthus Raffine Petit Aimee Light Pink,942440,
Dianthus Solomio Blondfly Yellow,8247058,
Dianthus Solomio Cas Light Pink,1562068,
Dianthus Solomio Fen Orange,500194,
Dianthus Solomio Imre Hot Pink,500196,
Dianthus Solomio Pink,4731976,
Dianthus Solomio Sem Purple Bicolor,1912208,
Dianthus Solomio White,817577,
Dusty Miller Large Leaf Silver,490061,40.0
Dusty Miller Large Leaf Silver,490061,40.0
Dusty Miller Large Leaf Silver,490206,50.0
Dusty Miller Large Leaf Silver,490206,50.0
Eryngium Blue Bell Blue,569141,60.0
Eryngium Blue Dynamite Blue,569150,55.0
Eryngium Magical Blue Lagoon Blue,639533,60.0
Eryngium Magical White Lagoon White,11824116,60.0
Eryngium Silver Dynamite Grey/Green,3311054,50.0
Eryngium Silver Dynamite Grey/Green,3311060,60.0
Eucalyptus Baby Blue Blue,490291,
Eupatorium Assorted,1714809,
Eupatorium Pink,515467,
Eupatorium White,515468,
Fern Sea Star Green,515486,
Flexigrass Green,515492,
Fuji Anastasia Green,485047,
Fuji Anastasia White,485050,
Fuji Assorted,485036,
Fuji Green,485039,
Fuji Hydra Pink,490215,
Fuji Nexus Dark Purple,509380,
Fuji Yazoo White,509379,
Galax Green,509425,
Galax Green,509425,
Garland Gypsophila Tinted Blue 10',4726069,10.0
Garland Gypsophila Tinted Blue 5',4618509,5.0
Garland Gypsophila Tinted Brown 10',4726079,10.0
Garland Gypsophila Tinted Brown 5',4618516,5.0
Garland Gypsophila Tinted Coffee Toffee Light Brown 10',4726081,10.0
Garland Gypsophila Tinted Coffee Toffee Light Brown 5',4618526,5.0
Garland Gypsophila Tinted Cold Sky Rainbow 10',4726130,10.0
Garland Gypsophila Tinted Cold Sky Rainbow 5',4618540,5.0
Garland Gypsophila Tinted Coral 10',4726078,10.0
Garland Gypsophila Tinted Coral 5',4618515,5.0
Garland Gypsophila Tinted Fashion Rainbow 10',4726133,10.0
Garland Gypsophila Tinted Fashion Rainbow 5',4618544,5.0
Garland Gypsophila Tinted Green 10',4726065,10.0
Garland Gypsophila Tinted Green 5',4618493,5.0
Garland Gypsophila Tinted Hot Pink 10',4726074,10.0
Garland Gypsophila Tinted Hot Pink 5',4618512,5.0
Garland Gypsophila Tinted Illusion Rainbow 10',4726132,10.0
Garland Gypsophila Tinted Illusion Rainbow 5',4618543,5.0
Garland Gypsophila Tinted Lavender 10',4726070,10.0
Garland Gypsophila Tinted Lavender 5',4618510,5.0
Garland Gypsophila Tinted Light Blue 10',4726068,10.0
Garland Gypsophila Tinted Light Blue 5',4618508,5.0
Garland Gypsophila Tinted Light Green 10',4726066,10.0
Garland Gypsophila Tinted Light Green 5',4618502,5.0
Garland Gypsophila Tinted Light Pink 10',4726075,10.0
Garland Gypsophila Tinted Light Pink 5',4618513,5.0
Garland Gypsophila Tinted Light Yellow 10',4726093,10.0
Garland Gypsophila Tinted Light Yellow 5',4618530,5.0
Garland Gypsophila Tinted Malima Rainbow 10',4726095,10.0
Garland Gypsophila Tinted Malima Rainbow 5',4618533,5.0
Garland Gypsophila Tinted New Pink Erika Pink 10',4726080,10.0
Garland Gypsophila Tinted New Pink Erika Pink 5',4618524,5.0
Garland Gypsophila Tinted Orange 10',4726082,10.0
Garland Gypsophila Tinted Orange 5',4618527,5.0
Garland Gypsophila Tinted Purple 10',4726073,10.0
Garland Gypsophila Tinted Purple 5',4618511,5.0
Garland Gypsophila Tinted Red 10',4726077,10.0
Garland Gypsophila Tinted Red 5',4618514,5.0
Garland Gypsophila Tinted Sunrise Rainbow 10',4726128,10.0
Garland Gypsophila Tinted Sunrise Rainbow 5',4618539,5.0
Garland Gypsophila Tinted Sunset Rainbow 10',4726131,10.0
Garland Gypsophila Tinted Sunset Rainbow 5',4618541,5.0
Garland Gypsophila Tinted Sweet Candy Pink Mix 10',4726126,10.0
Garland Gypsophila Tinted Sweet Candy Pink Mix 5',4618538,5.0
Garland Gypsophila Tinted Turquoise 10',4726067,10.0
Garland Gypsophila Tinted Turquoise 5',4618507,5.0
Garland Gypsophila Tinted Yellow 10',4726083,10.0
Garland Gypsophila Tinted Yellow 5',4618529,5.0
Garland Gypsophila Xlence Natural White 10',4726064,10.0
Garland Gypsophila Xlence Natural White 5',4618479,5.0
Gerbera Black Center Assorted,513625,
Gerbera Black Center Hot Pink,513641,
Gerbera Black Center Orange,513651,
Gerbera Black Center Pink,513655,
Gerbera Black Center Red,513657,
Gerbera Green Center Yellow,513788,
Grass Pampas Beige Tall,2665240,
Green Mist Chocolate Brown,1198724,
Green Mist Green,515858,
Green Mist Green,515858,
Gypsophila Cosmic White,1034329,
Gypsophila Million Star White,485064,
Gypsophila Million Star White,485064,
Gypsophila Million Star White,485064,
Gypsophila Mirabella White,485065,
Gypsophila New Love White,485066,
Gypsophila Xlence White,485069,
Gypsophila Xlence White,485069,
Gypsophila Xlence White,485069,
Helleborus Assorted,515893,
Helleborus Orientalis Double Ellen White,714490,
Helleborus Pink,515896,
Helleborus Purple,515897,
Helleborus Red,515898,
Helleborus White,515899,
Honey Bracelet Green,515911,
Hydrangea 50/50 Mix White/Light Blue,1756473,
Hydrangea Antique Assorted,1055325,
Hydrangea Antique Assorted Large,1050373,
Hydrangea Antique Blue/Green Jumbo,520130,
Hydrangea Antique Blue/Green Large,485124,
Hydrangea Antique Green Large,485132,
Hydrangea Antique Green Medium,485133,
Hydrangea Antique Hulk Green/Blue Large,646798,
Hydrangea Antique Hulk Green/Blue Large,646798,
Hydrangea Dark Blue Large,485075,
Hydrangea Dark Blue Medium,485076,
Hydrangea Light Blue Large,485090,
Hydrangea Light Blue Medium,485091,
Hydrangea Light Blue Medium,485091,
Hydrangea Light Lavender Large,1372587,
Hydrangea Light Pink Large,485096,
Hydrangea Mini Dark Green Small,490077,
Hydrangea Mini Green Small,485202,
Hydrangea Mojito Green Medium,485204,
Hydrangea Mojito Green Medium,485204,
Hydrangea Mojito Green Small,485205,
Hydrangea Purple Large,485111,
Hydrangea Purple Small,485113,
Hydrangea Shamrock Green Dark Green Medium,522046,
Hydrangea Shamrock Green/White Medium,509943,
Hydrangea White Jumbo,485117,
Hydrangea White Large,485118,
Hydrangea White Large,485118,
Hydrangea White Large,485118,
Hydrangea White Medium,485119,
Hydrangea White Medium,485119,
Hydrangea White Medium,485119,
Hydrangea White Small,485120,
Hypericum Assorted,485236,50.0
Hypericum Assorted,485237,60.0
Hypericum Assorted,485238,70.0
Hypericum Burgundy,485246,50.0
Hypericum Burgundy,485247,60.0
Hypericum Burgundy,485248,70.0
Hypericum Coco Bamboo Green,490142,50.0
Hypericum Coco Casino Pink,485289,50.0
Hypericum Coco Rio Red,988195,50.0
Hypericum Coco Rio Red,988197,70.0
Hypericum Coco Uno White,988199,50.0
Hypericum Coco Uno White,988203,70.0
Hypericum Cool Romance White,485297,50.0
Hypericum Cool Romance White,485298,60.0
Hypericum Cool Romance White,485299,70.0
Hypericum Green,485251,50.0
Hypericum Green,485251,50.0
Hypericum Green,485252,60.0
Hypericum Jungle Romance Green,485315,50.0
Hypericum Jungle Romance Green,485316,60.0
Hypericum Jungle Romance Green,485317,70.0
Hypericum Lucky Romance Green,608446,50.0
Hypericum Lucky Romance Green,608447,60.0
Hypericum Lucky Romance Green,608448,70.0
Hypericum Magical Triumph II Red,1032796,50.0
Hypericum Magical Triumph II Red,1032797,60.0
Hypericum Magical Triumph II Red,1032798,70.0
Hypericum Magical Victory Green,485339,50.0
Hypericum Magical Victory Green,485340,60.0
Hypericum Magical Victory Green,485341,70.0
Hypericum Mellow Romance Peach,485343,50.0
Hypericum Mellow Romance Peach,485344,60.0
Hypericum Mellow Romance Peach,485345,70.0
Hypericum Peach,485266,50.0
Hypericum Peach,485266,50.0
Hypericum Peach,485267,60.0
Hypericum Peach,485267,60.0
Hypericum Peach,485268,70.0
Hypericum Pink,485271,50.0
Hypericum Pink,485271,50.0
Hypericum Pink,485272,60.0
Hypericum Pink,485272,60.0
Hypericum Pink,485273,70.0
Hypericum Red,485276,50.0
Hypericum Red,485277,60.0
