created_at,eta_date,state,competitor,grower_name,grower_country,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,product_group_key,variety_key,stem_length,color_name,competitor_product_url,competitor_product_image,available_units,stems_per_unit,stem_price,unit_price,base_price,freight_price,margin
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,645935,Alstroemeria Voyager Yellow Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Yellow,https://www.mayesh.com/alstroemeria-voyager-yellow-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-voyager-yellow.jpg,19,150,0.75,112.5,0.29,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,645936,Alstroemeria Voyager Yellow Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,Yellow,https://www.mayesh.com/alstroemeria-voyager-yellow-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-voyager-yellow.jpg,20,150,0.82,123.0,0.33,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,1052764,Alstroemeria Whistler White Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,White,https://www.mayesh.com/alstroemeria-whistler-white-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-whistler-white.jpg,20,150,0.86,129.0,0.33,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,1052765,Alstroemeria Whistler White Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,White,https://www.mayesh.com/alstroemeria-whistler-white-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-whistler-white.jpg,20,150,0.93,139.5,0.37,0.34,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Colombia,1052766,Alstroemeria Whistler White Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,White,https://www.mayesh.com/alstroemeria-whistler-white-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-whistler-white.jpg,20,120,1.11,133.2,0.43,0.42,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483806,Alstroemeria White Fancy,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,White,https://www.mayesh.com/alstroemeria-white-fancy,https://www.mayesh.com/backend/files/flowers/alstroemeria-white-2.jpg,10,150,0.75,112.5,0.29,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483808,Alstroemeria White Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,White,https://www.mayesh.com/alstroemeria-white-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-white-2.jpg,20,150,0.82,123.0,0.33,0.29,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,C.I. Flores De Funza,Colombia,483807,Alstroemeria White Super Select,Alstroemeria,490,ecaa1c68-87fc-4f4e-b088-ba5e94c7b7bc,,,White,https://www.mayesh.com/alstroemeria-white-super-select,https://www.mayesh.com/backend/files/flowers/alstroemeria-white-2.jpg,20,120,0.98,117.6,0.39,0.36,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,513360,Amaranthus Hanging Red,Amaranthus,491,83a8817f-88b8-45a9-bc11-f9e3868e1882,ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,,Red,https://www.mayesh.com/amaranthus-hanging-red,https://www.mayesh.com/backend/files/flowers/amaranthus-hanging-red.jpg,1,8,21.64,173.12,9.58,6.31,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,1937431,Amaranthus Upright Bronze,Amaranthus,491,83a8817f-88b8-45a9-bc11-f9e3868e1882,,,Bronze,https://www.mayesh.com/amaranthus-upright-bronze,https://www.mayesh.com/backend/files/flowers/amaranthus-upright-bronze.jpg,0,12,13.3,159.6,5.68,4.21,37.5
