competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,grower_country,product_group_key,stem_length,stem_price,unit,variety_key
Flowermarketplace,Anthurium Andreanum,2272548,ANTHURIUM LOVELY FRESH LOVE SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272550,ANTHURIUM LOVELY PRINCESS AMALIA LIPS SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272551,ANTHURIUM LOVELY PRINSES AMALIA ELEGANCE SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272553,ANTHURIUM LOVELY SNOWY SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272555,ANTHURIUM LOVELY SUMMER LOVE SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272557,ANTHURIUM LOVELY VIOLET HEART SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272559,ANTHURIUM LOVELY WHITE LOVE SMALLØ X40 BOX,2025-04-17,2025-04-29,Holland,,,6.88,Stems,
Flowermarketplace,Anthurium Andreanum,2272561,ANTHURIUM MARAVILLA X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272563,ANTHURIUM MAXIMA VIOLETTA X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272565,ANTHURIUM MIDORI X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.73,Stems,
Flowermarketplace,Anthurium Andreanum,2272567,ANTHURIUM MILANELLO X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.73,Stems,
Flowermarketplace,Anthurium Andreanum,2272569,ANTHURIUM PREVIA X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272571,ANTHURIUM RED AMOR X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272573,ANTHURIUM TEQUILA X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272575,ANTHURIUM TROPICAL X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.38,Stems,
Flowermarketplace,Anthurium Andreanum,2272577,ANTHURIUM VERINO X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.38,Stems,
Flowermarketplace,Anthurium Andreanum,2272579,ANTHURIUM WHISPER X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,8.13,Stems,
Flowermarketplace,Anthurium Andreanum,2272581,ANTHURIUM ZAFIRA X24 MEDIUM,2025-04-17,2025-04-29,Holland,,,7.48,Stems,
Flowermarketplace,Green,2162219,ARALIA EX,2025-04-17,2025-04-29,Italy,unmapped,,1.11,Stems,
Flowermarketplace,Green,2162220,ARALIA I,2025-04-17,2025-04-29,Italy,unmapped,,0.8,Stems,
