ibf_variety,competitor_variety
24a74264-b04e-41d9-8e33-55adfd80271a,2157983
4da1dd10-bfa1-490d-826a-355d24a38245,2162061
b01255fe-4ae6-4e56-8d48-a1619b0e4b8a,2177225
8d272f1d-cdc6-4710-8e01-afc4ad058a50,2161135
d92a0b50-3d75-4bcf-96fc-08290a6b6674,2158069
d92a0b50-3d75-4bcf-96fc-08290a6b6674,2158071
d92a0b50-3d75-4bcf-96fc-08290a6b6674,2158073
12a5d6ab-de33-4820-898c-f4087830082f,2158464
f194a18a-2329-407d-9f22-ff14d6646a9a,2157967
f194a18a-2329-407d-9f22-ff14d6646a9a,2157969
f194a18a-2329-407d-9f22-ff14d6646a9a,2157971
5e229501-6b4b-48e9-9745-2c906375fba5,2158420
6b49dff5-14bd-4184-b027-c46d869d7351,2160570
1eb3b7f7-a4ee-4dac-b324-c62e7160b5f0,2161333
8e0ac26c-7e61-4063-9f0b-27ec5c7c3365,2161971
1c6da598-12db-430d-b9c3-6b64c7221d78,2161349
ea06fe3d-fe18-447d-bd8b-5c8cd857316f,2162076
5600b344-6f44-4071-8d2b-0651f4ed50b8,2148557
e7d33bc5-2eb2-4663-839a-8909742dde40,2160564
bf509c36-362b-452d-887e-24f0c22e504b,2180399
2c6f8943-46db-4cac-b03c-538975fbafa4,2157843
2c6f8943-46db-4cac-b03c-538975fbafa4,2157845
2c6f8943-46db-4cac-b03c-538975fbafa4,2157847
28838ab2-db64-497b-ac49-afc4b73f086d,2158480
0ae9e3fa-7282-4066-8e18-b2823e401246,2160892
06456705-894f-4608-8417-d943b4a83f25,2163754
eb7a11d5-c238-4d02-9a9d-5cf51790998a,2192246
ff23babb-67ec-438c-a48e-480d8fd4f44b,2157901
ff23babb-67ec-438c-a48e-480d8fd4f44b,2157903
f093ff7b-6aca-440c-ad6b-47a2a18bdab9,2160912
57bb979a-0621-44f7-b114-9aa35d716a3a,2161973
3d79707e-8248-40c3-b2c6-468ee560e909,2157927
3d79707e-8248-40c3-b2c6-468ee560e909,2157929
3d79707e-8248-40c3-b2c6-468ee560e909,2157931
e9d56635-b43e-47f2-9a7f-a13335aa2454,2160990
0671eb9d-3278-44f2-80a3-aac75c1a43c6,2161357
b683ea36-649a-466b-b272-4b7018d89408,2177190
8ac54afc-844a-4fd6-bf75-9b9c38ca6cff,2157869
8ac54afc-844a-4fd6-bf75-9b9c38ca6cff,2157871
8ac54afc-844a-4fd6-bf75-9b9c38ca6cff,2157873
0b1b98ac-ebbe-414c-bcd4-58e54ec95eca,2160700
a9f36181-093c-47b7-987c-372f71ce25b4,2161049
e42fa7cd-cc27-4fff-95ed-28fd7715ecf1,2219808
c22d5ba2-49bb-47e7-a281-6ec383e25987,2261272
bb3732d4-1386-4165-9764-fcc972a572e5,2158446
955ac9bd-6ecc-4f2d-8d9f-435dc065ce9c,2160858
dacfaf30-8364-4942-9bee-aa86f000dd8a,2160974
863702ac-82b2-4f12-a228-18602a64b1ec,2192243
413482fe-8346-4bb3-96fe-3c039d24e137,2157941
413482fe-8346-4bb3-96fe-3c039d24e137,2157943
413482fe-8346-4bb3-96fe-3c039d24e137,2157945
b63afff4-5d7d-4578-a213-2c7bc6c1f566,2157821
b63afff4-5d7d-4578-a213-2c7bc6c1f566,2157823
2423893a-b468-4b6d-9d62-ea0d4e065064,2158007
2423893a-b468-4b6d-9d62-ea0d4e065064,2158009
c51e36f4-13ed-4435-a1b8-e4064139ca42,2160860
cc95baa3-f410-4c49-ad88-2ca102485660,2192250
26a4abc6-e9fb-4123-947e-f7ba8d3a30f8,2161002
74bb3db9-a4d7-44cf-b328-d20f59c0139c,2161131
4dc42fc8-8da5-4378-90dc-1974eb2d059d,2162702
dc65e942-d897-4d07-b550-ca129e12280d,2157737
dc65e942-d897-4d07-b550-ca129e12280d,2157739
